Date,Match number,Team home,Team away,Ground
24/03/24 11:29 am,65,DC,RR,DC_home
25/03/24 11:29 am,66,RR,DC,RR_home
26/03/24 11:29 am,67,DC,MI,DC_home
27/03/24 11:29 am,68,MI,DC,MI_home
28/03/24 11:29 am,69,DC,KKR,DC_home
29/03/24 11:29 am,70,KKR,DC,KKR_home
30/03/24 11:29 am,71,RR,CSK,RR_home
31/03/24 11:29 am,72,CSK,RR,CSK_home
01/04/24 11:29 am,73,RR,PBKS,RR_home
02/04/24 11:29 am,74,PBKS,RR,PBKS_home
03/04/24 11:29 am,75,RR,SRH,RR_home
04/04/24 11:29 am,76,SRH,RR,SRH_home
05/04/24 11:29 am,77,RR,RCB,RR_home
06/04/24 11:29 am,78,RCB,RR,RCB_home
07/04/24 11:29 am,79,RR,DC,RR_home
08/04/24 11:29 am,80,DC,RR,DC_home
09/04/24 11:29 am,81,RR,MI,RR_home
10/04/24 11:29 am,82,MI,RR,MI_home
11/04/24 11:29 am,83,RR,KKR,RR_home
12/04/24 11:29 am,84,KKR,RR,KKR_home
13/04/24 11:29 am,85,MI,CSK,MI_home
14/04/24 11:29 am,86,CSK,MI,CSK_home
15/04/24 11:29 am,87,MI,PBKS,MI_home
16/04/24 11:29 am,88,PBKS,MI,PBKS_home
17/04/24 11:29 am,89,MI,SRH,MI_home
18/04/24 11:29 am,90,SRH,MI,SRH_home
19/04/24 11:29 am,91,MI,RCB,MI_home
20/04/24 11:29 am,92,RCB,MI,RCB_home
21/04/24 11:29 am,93,MI,DC,MI_home
22/04/24 11:29 am,94,DC,MI,DC_home
23/04/24 11:29 am,95,MI,RR,MI_home
24/04/24 11:29 am,96,RR,MI,RR_home
25/04/24 11:29 am,97,MI,KKR,MI_home
26/04/24 11:29 am,98,KKR,MI,KKR_home
27/04/24 11:29 am,99,KKR,CSK,KKR_home
28/04/24 11:29 am,100,CSK,KKR,CSK_home
29/04/24 11:29 am,101,KKR,PBKS,KKR_home
30/04/24 11:29 am,102,PBKS,KKR,PBKS_home
01/05/24 11:29 am,103,KKR,SRH,KKR_home
02/05/24 11:29 am,104,SRH,KKR,SRH_home
03/05/24 11:29 am,105,KKR,RCB,KKR_home
04/05/24 11:29 am,106,RCB,KKR,RCB_home
05/05/24 11:29 am,107,KKR,DC,KKR_home
06/05/24 11:29 am,108,DC,KKR,DC_home
07/05/24 11:29 am,109,KKR,RR,KKR_home
08/05/24 11:29 am,110,RR,KKR,RR_home
09/05/24 11:29 am,111,KKR,MI,KKR_home
10/05/24 11:29 am,112,MI,KKR,MI_home
